2,200000
85304,51992
94920,88394
67106,7199
73393,58776
95899,86342
69215,94115
59213,4018
33625,85494
39664,84733
11478,45175
22931,5552
47809,21563
57293,72561
4972,54362
57452,48339
93325,42756
16683,88245
31150,83789
11796,20895
58918,24047
23589,28133
18163,82802
48503,68140
68297,4519
52873,96127
49695,92156
1680,13856
30072,75325
86417,35044
29687,60221
99735,39364
2978,32770
27609,50480
16560,55757
71376,75478
79804,11317
19963,97967
94120,68467
66107,78769
72986,35332
74896,39033
27489,92928
52889,57561
68253,55658
8957,14292
15880,8692
53656,35210
41462,97617
2042,74374
53374,89770
66204,33179
1088,86168
47498,95208
54635,13606
90329,43973
48938,81577
83007,76427
74506,35896
50340,59111
7907,59297
73404,23787
84341,43412
75349,42156
41030,77391
16530,10756
83514,82735
60287,84602
68903,7786
96162,39890
21392,86491
83863,86682
68068,66870
79462,58926
19119,29802
18038,27026
5452,7794
67165,89793
67558,42514
31949,24940
36257,48480
35697,19771
47567,95984
4373,32822
20122,16887
72712,41514
19730,72927
44549,87799
39798,40363
63077,75269
86517,97467
2295,91969
21613,85812
81763,89172
44678,13712
30464,80935
78544,66161
17059,42463
78498,37784
75285,98620
54672,47997
56487,74402
37277,17388
78553,77075
57751,57983
52344,60620
55450,70991
52590,77064
73155,50705
82588,17833
64417,13052
15120,59314
95566,32179
1777,74064
86316,77063
89036,40988
41412,61875
31742,78689
79263,26648
72116,53366
84631,40812
13987,40081
28155,66577
33497,1310
33634,16085
35495,14403
29138,66968
73717,24704
99147,91847
15120,1815
68910,20508
42803,26674
82384,90898
21716,61647
17546,10184
31366,18529
50997,45353
58610,95504
28282,92108
13167,61916
24545,65014
76319,70035
31982,66389
11091,31130
58236,26211
49297,43498
63072,8453
86524,45456
99351,8240
23455,33249
34777,54821
51778,2126
174,26740
97630,44808
18848,27149
23076,59746
92164,99396
29781,24146
82137,40873
71628,40373
83436,20926
83871,46508
29379,70395
8316,28730
94988,31772
78331,29765
86593,30109
31891,3120
56849,45873
64280,92050
73023,87357
51796,65187
86753,97929
89333,68890
38802,60962
25615,22239
81888,25838
85099,11267
12585,93416
56349,7573
25188,34680
53690,28133
81141,1933
31253,37990
47807,11886
46392,20830
99243,98188
2369,2348
12470,91702
87590,51272
69016,13205
89863,67256
39043,74963
78523,51628
84731,51224
75554,9919
2256,29244
54404,83397
31178,2010
21388,95337
13896,84132
16167,13139
98673,34888
15487,11143
26590,3077
62415,11959
16282,68631
79215,71677
43594,74091
39657,28325
25315,15211
54596,27572
60808,9000
10969,8338
27362,48709
3675,41258
49194,36194
54397,47867
71082,69884
59010,14024
89313,37777
25983,21947
6408,5199
93624,50002
79290,33282
94679,20957
64845,65627
64881,42005
90980,92203
50343,18342
57264,70370
59601,6458
22916,30350
54325,93998
235,13335
24375,5900
51113,50358
27848,57521
71909,21472
23876,67551
71106,34907
4861,52304
16887,69742
10661,7867
61945,61005
26209,19210
47727,2162
25668,70644
32513,79994
80994,49100
9681,5369
55000,77146
72080,82848
51020,60341
20673,91248
44245,8131
26155,49106
76787,43042
18848,87449
67261,97146
64806,9823
16356,12533
11985,42024
99529,60850
38370,80524
9950,64404
2245,81303
41550,90677
80503,92570
67371,17528
83818,11616
42012,26326
60722,18799
85720,95922
6248,52982
93068,87406
62805,25776
99940,91142
84153,15821
68345,22523
12697,78295
3279,14943
75950,44830
21972,56454
53752,89343
90334,53923
17311,32346
80249,94385
51146,65969
90308,73746
35303,99728
61153,14460
25505,77445
21955,9658
93266,90300
48533,5964
84947,51813
37259,60898
12995,75583
33704,83099
81279,40390
37022,98590
72737,17271
9328,40235
99593,15988
13981,51248
15716,91486
82061,57573
68931,4016
83583,78550
10668,32117
84514,95615
282,38125
72865,29629
13708,22921
12728,94987
63312,49751
9930,52401
83374,19258
92636,99319
35246,6617
50568,50962
14456,32629
24888,83387
52997,8471
61937,63665
56940,62803
59280,73574
17280,48498
3203,30989
71419,15932
42328,51083
65683,52258
3484,65409
71516,96120
64729,23114
19090,31649
90429,33546
80630,15317
33285,33627
23788,11575
13644,97081
90730,72924
70655,8011
37774,73859
39000,25546
89791,97680
76629,71826
49939,96466
53587,37807
92586,18316
60922,28028
66317,51351
77926,46947
66668,11212
80574,6808
22787,94218
3889,29869
83495,74545
37880,37621
64756,93232
63167,70899
90913,56149
59077,40852
52615,12664
78659,45201
47333,55933
89582,13650
7284,67508
60598,90304
78720,57524
13465,17859
68095,17354
47729,67942
8251,1961
5563,89359
95194,68731
60258,86107
24880,19335
26959,93847
32000,21970
39048,95685
94256,44982
9335,1540
12491,86285
8197,7563
43810,21662
25423,11905
55368,89504
96199,79972
91465,1762
69331,86659
86845,29590
89118,28077
65277,32429
21924,13629
54400,77325
9314,65008
22307,35002
66548,34798
21287,91097
58714,65097
12759,84137
93354,84480
89993,89553
64452,97810
7668,50135
822,94513
79725,89940
38943,61355
22370,60867
74984,93122
38192,651
58130,76852
35653,41030
28002,56940
32128,86716
38390,61239
87205,48096
45719,77198
54002,26523
91361,61670
76659,92183
72535,72736
82123,11478
34091,20845
72346,25428
13967,26890
42431,72097
3742,78084
13128,31745
51376,61608
34813,6118
22847,22019
54215,84919
99217,24569
11442,6930
86239,88101
99113,75126
60838,97589
86605,11281
18434,75303
36709,32402
18545,79140
20851,38640
73576,50331
86737,41305
11939,21550
63775,51139
43569,34342
36058,59139
58911,63852
66069,61502
51954,65183
36629,12792
79124,39586
40425,97558
31241,77135
46312,66138
72627,67164
4778,46204
33847,91515
3861,62139
29418,67636
13278,72987
1979,65688
48478,77242
29540,14548
38745,97846
96083,91726
26990,91559
31312,67416
89117,78905
60903,35430
45043,33530
18946,66174
96086,52793
74041,99947
14932,3459
83936,44562
92799,2267
26602,41277
79509,72495
72177,18254
70341,84612
26332,13684
76171,57644
